date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:16	245/245	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Nov%202023%2007:54:15%20GMT	https://jthemes.com/themes/wp/jobbox	C:/My%20Web%20Sites/Jobbox/jthemes.com/themes/wp/jobbox	(from )
08:54:18	263983/263983	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202023%2007:54:17%20GMT	https://jthemes.com/themes/wp/jobbox/	C:/My%20Web%20Sites/Jobbox/jthemes.com/themes/wp/jobbox/index.html	(from https://jthemes.com/themes/wp/jobbox)
08:54:19	104484/104484	---MCZ	200	added ('OK')	text/css	etag:W/%2264d6d9d9-19824%22	https://jthemes.com/themes/wp/jobbox/wp-includes/css/dist/block-library/style.min.css?ver=6.3.2	C:/My%20Web%20Sites/Jobbox/jthemes.com/themes/wp/jobbox/wp-includes/css/dist/block-library/style.mine35d.css	(from https://jthemes.com/themes/wp/jobbox/)
08:55:24	147/147	---MCZ	200	added ('OK')	text/css	etag:W/%22642a86bf-93%22	https://jthemes.com/themes/wp/jobbox/wp-content/plugins/control-job-manager/vendor/tags/assets/dist/css/frontend.css?ver=1.1.7	C:/My%20Web%20Sites/Jobbox/jthemes.com/themes/wp/jobbox/wp-content/plugins/control-job-manager/vendor/tags/assets/dist/css/frontend5a2c.css	(from https://jthemes.com/themes/wp/jobbox/)
08:56:06	31340/31340	---M-Z	200	added ('OK')	text/css	etag:W/%2228feccc0-7a6c%22	http://code.jquery.com/ui/1.13.2/themes/smoothness/jquery-ui.min.css?ver=1.13.2	C:/My%20Web%20Sites/Jobbox/code.jquery.com/ui/1.13.2/themes/smoothness/jquery-ui.min3f14.css	(from https://jthemes.com/themes/wp/jobbox/)
08:56:07	6487/6487	---MCZ	200	added ('OK')	text/css	etag:W/%22642a7fd0-1957%22	https://jthemes.com/themes/wp/jobbox/wp-content/themes/jobbox/assets/css/vendors/normalize.css?ver=8.0.1	C:/My%20Web%20Sites/Jobbox/jthemes.com/themes/wp/jobbox/wp-content/themes/jobbox/assets/css/vendors/normalizefd24.css	(from https://jthemes.com/themes/wp/jobbox/)
08:56:08	289302/289302	---MCZ	200	added ('OK')	text/css	etag:W/%22642a7fd0-46a16%22	https://jthemes.com/themes/wp/jobbox/wp-content/themes/jobbox/assets/css/bootstrap/bootstrap.css?ver=5.2.2	C:/My%20Web%20Sites/Jobbox/jthemes.com/themes/wp/jobbox/wp-content/themes/jobbox/assets/css/bootstrap/bootstrapbb49.css	(from https://jthemes.com/themes/wp/jobbox/)
08:56:08	27106/27106	---MCZ	200	added ('OK')	text/css	etag:W/%22642a7fd0-69e2%22	https://jthemes.com/themes/wp/jobbox/wp-content/themes/jobbox/assets/css/vendors/uicons-regular-rounded.css?ver=1.0.0	C:/My%20Web%20Sites/Jobbox/jthemes.com/themes/wp/jobbox/wp-content/themes/jobbox/assets/css/vendors/uicons-regular-rounded8a54.css	(from https://jthemes.com/themes/wp/jobbox/)
08:56:09	101724/101724	---MCZ	200	added ('OK')	text/css	etag:W/%22642a7fd0-18d5c%22	https://jthemes.com/themes/wp/jobbox/wp-content/themes/jobbox/assets/css/all.min.css?ver=6.2.0	C:/My%20Web%20Sites/Jobbox/jthemes.com/themes/wp/jobbox/wp-content/themes/jobbox/assets/css/all.min10df.css	(from https://jthemes.com/themes/wp/jobbox/)
08:56:09	16478/16478	---MCZ	200	added ('OK')	text/css	etag:W/%22642a7fd0-405e%22	https://jthemes.com/themes/wp/jobbox/wp-content/themes/jobbox/assets/css/plugins/swiper-bundle.min.css?ver=8.3.2	C:/My%20Web%20Sites/Jobbox/jthemes.com/themes/wp/jobbox/wp-content/themes/jobbox/assets/css/plugins/swiper-bundle.min5d50.css	(from https://jthemes.com/themes/wp/jobbox/)
